ID,Case Number,Date,Primary Type,Arrest,Domestic,District,Latitude,Longitude
9554828,HX206790,2014-03-31 21:00:00,CRIMINAL DAMAGE,False,False,8,41.799132969,-87.771038144
3058186,HJ773516,2003-11-21 09:30:00,THEFT,False,False,8,41.754592961,-87.741528537
9020370,HW167885,2013-02-23 18:30:00,CRIMINAL DAMAGE,False,False,8,41.753997361,-87.741512019
11605584,JC164348,2019-02-22 18:30:00,THEFT,False,False,8,41.814517407,-87.726281818
14185329,JK240145,2026-05-03 07:00:00,CRIMINAL TRESPASS,False,False,8,41.779176188,-87.689434991
10102378,HY291323,2015-06-06 21:00:00,THEFT,False,False,8,41.776275596,-87.759905717
5106959,HM700768,2006-11-04 09:00:00,ASSAULT,True,True,8,41.774398382,-87.701797065
7643367,HS447668,2010-08-05 19:46:00,NARCOTICS,True,False,8,41.778495015,-87.700689983
9037580,HW183870,2013-03-08 11:03:00,THEFT,False,False,8,41.791380199,-87.724699662
13587441,JH415991,2024-09-04 23:00:00,BURGLARY,False,False,8,41.802126073,-87.70870977
2521778,HH838072,2002-12-14 12:23:49,NARCOTICS,True,False,8,41.779103809,-87.694165274
7128878,HR538068,2009-08-27 10:25:00,BATTERY,False,True,8,41.776481193,-87.690888091
14189325,JK244957,2026-05-06 22:53:00,ASSAULT,False,False,8,41.780543275,-87.718569254
11030653,JA362970,2017-04-25 14:11:00,DECEPTIVE PRACTICE,False,False,8,41.799532089,-87.737521099
10307211,HY496057,2015-11-10 02:00:00,BURGLARY,False,False,8,41.789397331,-87.698562331
5804752,HN614880,2007-09-25 20:00:00,CRIMINAL DAMAGE,False,False,8,41.788535011,-87.735272478
7895817,HT125725,2010-12-29 21:00:00,DECEPTIVE PRACTICE,False,False,8,41.794696906,-87.735457233
11850912,JC460414,2019-10-04 19:00:00,BATTERY,False,False,8,41.752890275,-87.715747404
9444951,HW589062,2013-12-29 20:50:00,MOTOR VEHICLE THEFT,False,False,8,41.776930006,-87.687239409
4725414,HM331685,2006-05-05 10:10:00,ASSAULT,False,False,8,41.781257873,-87.730163075
6410202,HP486311,2008-07-31 16:45:00,CRIMINAL DAMAGE,False,False,8,41.73759335,-87.731235003
3402960,HK450703,2004-06-23 18:05:00,NARCOTICS,True,False,8,41.774902869,-87.693283132
5311559,HN172225,2007-02-11 20:30:00,BATTERY,False,False,8,41.779147989,-87.691261104
12618429,JF144887,2022-02-09 12:00:00,MOTOR VEHICLE THEFT,False,False,8,41.787899478,-87.68247241
3125609,HK113731,2004-01-08 17:47:40,BATTERY,True,False,8,41.801746747,-87.723405927
2972883,HJ624103,2003-09-12 01:02:00,NARCOTICS,True,False,8,41.787756339,-87.693631982
