TractId,State,County,TotalPop,Income,IncomePerCap,Professional,Unemployment
17031010100,Illinois,Cook County,4444,33750.0,26590.0,40.6,8.1
17031010201,Illinois,Cook County,7197,40841.0,22554.0,36.3,8.1
17031010202,Illinois,Cook County,2487,36563.0,19657.0,30.1,7.1
17031010300,Illinois,Cook County,6413,36870.0,33634.0,39.9,6.9
17031010400,Illinois,Cook County,5411,39634.0,20681.0,47.8,8.7
17031010501,Illinois,Cook County,4081,31985.0,25888.0,39.4,10.4
17031010502,Illinois,Cook County,2631,33721.0,27246.0,45.7,4.3
17031010503,Illinois,Cook County,2047,19671.0,24846.0,46.0,6.0
17031010600,Illinois,Cook County,6515,40576.0,29102.0,47.0,11.2
17031010701,Illinois,Cook County,3833,60798.0,29523.0,40.9,4.8
17031010702,Illinois,Cook County,5333,39604.0,20431.0,35.1,5.5
17031020100,Illinois,Cook County,4208,49318.0,25725.0,30.8,12.8
17031020200,Illinois,Cook County,6905,87835.0,31569.0,52.1,7.6
17031020301,Illinois,Cook County,5295,53254.0,32446.0,47.6,7.3
17031020302,Illinois,Cook County,5023,69861.0,34076.0,47.4,12.6
17031020400,Illinois,Cook County,4551,59705.0,31420.0,44.2,6.9
17031020500,Illinois,Cook County,6545,40090.0,17911.0,19.2,12.9
17031020601,Illinois,Cook County,6130,39282.0,23696.0,33.5,9.9
17031020602,Illinois,Cook County,4637,50048.0,21122.0,30.5,9.7
17031020701,Illinois,Cook County,1729,76635.0,36176.0,45.4,6.5
17031020702,Illinois,Cook County,7843,44990.0,17739.0,31.0,8.1
17031020801,Illinois,Cook County,5211,50230.0,27801.0,30.8,7.2
17031020802,Illinois,Cook County,7857,47207.0,21755.0,30.4,6.7
17031020901,Illinois,Cook County,5807,42942.0,18892.0,29.8,6.0
17031020902,Illinois,Cook County,4474,36660.0,18840.0,32.0,5.7
17031030101,Illinois,Cook County,3549,43167.0,35582.0,39.8,7.9
17031030102,Illinois,Cook County,2766,43750.0,38917.0,44.5,6.4
17031030103,Illinois,Cook County,2217,49233.0,28981.0,51.1,9.0
17031030104,Illinois,Cook County,3375,38871.0,20057.0,36.0,13.5
17031030200,Illinois,Cook County,5103,64089.0,46033.0,60.2,6.3
17031030300,Illinois,Cook County,3315,37868.0,25710.0,32.6,7.6
17031030400,Illinois,Cook County,2708,45850.0,35835.0,52.0,13.9
17031030500,Illinois,Cook County,6570,79587.0,47390.0,57.1,2.1
17031030601,Illinois,Cook County,4066,39015.0,27276.0,46.6,2.4
17031030603,Illinois,Cook County,2023,29088.0,33074.0,44.2,3.2
17031030604,Illinois,Cook County,3225,30486.0,31011.0,53.6,5.1
17031030701,Illinois,Cook County,1597,36467.0,26808.0,39.4,7.9
17031030702,Illinois,Cook County,982,73967.0,69989.0,69.5,11.4
17031030703,Illinois,Cook County,2680,40670.0,35540.0,61.5,5.4
17031030706,Illinois,Cook County,4270,41331.0,39876.0,54.8,8.4
17031030800,Illinois,Cook County,4376,72296.0,59052.0,62.2,2.6
17031030900,Illinois,Cook County,3143,88000.0,51169.0,65.5,3.8
17031031000,Illinois,Cook County,4078,72964.0,49121.0,58.2,4.9
17031031100,Illinois,Cook County,4666,65462.0,41575.0,54.8,5.3
17031031200,Illinois,Cook County,5720,35295.0,26277.0,41.9,4.4
17031031300,Illinois,Cook County,8037,42690.0,31742.0,50.4,5.7
17031031400,Illinois,Cook County,4958,68899.0,56331.0,67.2,2.9
17031031501,Illinois,Cook County,4033,26915.0,21774.0,38.2,12.5
17031031502,Illinois,Cook County,4439,24304.0,23506.0,30.6,11.1
17031031700,Illinois,Cook County,7001,44555.0,37413.0,56.2,9.6
17031031800,Illinois,Cook County,1771,69167.0,50959.0,59.6,3.1
17031031900,Illinois,Cook County,2526,61211.0,45551.0,56.7,6.9
17031032100,Illinois,Cook County,7117,52335.0,47025.0,52.9,6.1
17031040100,Illinois,Cook County,3893,79688.0,44057.0,58.6,2.5
17031040201,Illinois,Cook County,7040,68082.0,36582.0,50.2,4.1
17031040202,Illinois,Cook County,7194,39601.0,26709.0,42.9,3.0
17031040300,Illinois,Cook County,2999,96369.0,43309.0,54.4,9.9
17031040401,Illinois,Cook County,3182,90243.0,49734.0,59.8,5.2
17031040402,Illinois,Cook County,5035,81496.0,63382.0,70.4,2.4
17031040600,Illinois,Cook County,2702,85745.0,50066.0,64.5,7.0
17031040700,Illinois,Cook County,3325,76750.0,46474.0,53.2,4.3
17031040800,Illinois,Cook County,1813,74688.0,43747.0,69.3,2.1
17031040900,Illinois,Cook County,1909,76607.0,62380.0,67.8,1.2
17031050100,Illinois,Cook County,2711,95750.0,53387.0,60.1,4.9
17031050200,Illinois,Cook County,5214,74375.0,57295.0,60.6,3.5
17031050300,Illinois,Cook County,2562,79183.0,45297.0,57.0,8.3
17031050500,Illinois,Cook County,6311,121591.0,64262.0,60.3,2.5
17031050600,Illinois,Cook County,2238,104955.0,81782.0,68.8,3.5
17031050700,Illinois,Cook County,1593,128676.0,74502.0,66.4,1.2
17031050800,Illinois,Cook County,1476,111190.0,65728.0,60.3,5.6
17031050900,Illinois,Cook County,1462,87625.0,54560.0,63.1,3.5
17031051000,Illinois,Cook County,1783,106310.0,60570.0,66.4,1.1
17031051100,Illinois,Cook County,1670,124583.0,69238.0,61.3,0.6
17031051200,Illinois,Cook County,1623,120865.0,79240.0,75.0,3.0
17031051300,Illinois,Cook County,2783,149271.0,84812.0,67.1,3.4
17031051400,Illinois,Cook County,1814,100795.0,66310.0,63.4,4.3
17031060100,Illinois,Cook County,2773,91298.0,69126.0,59.7,1.4
17031060200,Illinois,Cook County,2279,69650.0,59098.0,59.2,4.1
